cv_estado,cv_municipio,tortillerias,population,brute_production
30,026,23,21546,1013074
32,025,8,12234,1011935
24,009,0,4021,1010492
32,020,60,57610,1010444
11,033,100,115656,1000632
24,055,9,24596,995418
30,089,47,39673,994004
21,110,104,42887,992960
30,205,32,19128,986332
30,052,8,11645,980796
08,004,2,10688,975378
13,003,221,54299,966502
15,088,73,90946,962703
29,043,72,33081,958873
15,005,109,147653,957449
16,088,46,78623,957262
07,009,47,40042,953473
16,045,35,34199,931316
18,001,19,36572,925517
30,115,27,34688,924444
30,065,30,61718,912780
28,043,24,22864,901957
05,007,3,13013,891379
30,124,179,158599,887444
30,071,37,54561,870960
21,063,35,13785,868989
29,018,168,35084,866915
11,030,58,106952,865125
29,015,83,35162,863927
21,071,154,97753,863359
16,075,64,64141,855908
15,116,6,4051,844513
14,030,33,48839,832052
09,009,166,130582,818807
20,553,229,9417,818682
27,013,22,115066,815731
14,050,30,42164,814496
07,097,111,84594,798811
17,009,16,17340,788773
30,053,21,26265,780469
18,015,44,93074,775238
01,006,29,41862,768351
32,009,3,10565,751054
30,138,44,40634,740816
08,036,21,41265,740059
27,016,27,53555,735152
13,052,58,32057,731768
28,035,25,57220,727343
23,003,7,16203,724378
13,084,81,38516,722046
21,001,206,60353,720796
16,050,61,80258,720685
32,039,38,62693,717660
24,016,39,41529,707750
21,208,225,76296,701650
16,071,44,67837,700632
26,058,3,16014,691866
17,017,150,61585,689509
18,014,8,22412,679797
21,164,92,74708,677165
24,036,13,28848,674513
08,002,7,22302,671940
30,121,13,23276,667537
13,050,96,22217,666316
04,009,23,54184,664043
08,059,3,4753,661662
20,482,81,50309,658276
28,025,14,27015,657722
25,009,76,54131,649229
30,077,32,42205,647422
20,002,48,44885,639301
21,161,75,19002,638075
14,041,8,6084,637022
15,085,96,62695,636936
08,052,7,26304,636571
03,009,8,16738,635303
12,066,97,81419,633809
27,007,25,29518,633537
14,109,9,17325,633295
32,029,14,22296,632111
14,035,39,51396,630430
05,003,3,22675,629323
31,052,25,33978,624795
31,089,67,37685,619168
15,100,34,35199,618640
16,020,116,28227,617429
14,022,30,39020,616013
22,001,8,62197,615091
25,014,22,49380,609025
27,003,35,102110,601215
18,008,34,49102,600558
27,017,37,58960,599792
30,011,16,51955,596866
21,091,17,10213,596712
16,082,32,69955,595259
30,040,32,48351,591692
11,004,36,64433,589246
01,003,25,54136,586127
06,001,27,28695,583712
30,155,98,101743,581389
13,041,117,42834,580259
20,033,3,2433,579650
14,123,4,17585,574277
13,008,107,42563,572443
20,515,166,61872,572307
12,028,184,120790,563783
32,036,32,40740,561986
20,397,55,38453,560136
30,061,34,77426,556236
20,014,64,26450,555167
14,002,16,23241,553195
12,011,45,61316,546363
13,074,115,26758,544627
05,009,28,55676,539904
30,116,25,14784,537480
12,057,78,62071,537352
24,037,40,96820,537032
19,047,6,16604,536636
07,059,126,198877,516735
15,040,19,33541,516353
15,003,12,44823,514200
11,001,50,84332,512328
10,023,15,49162,512115
25,002,20,44993,511074
16,051,9,13031,506052
20,157,37,13860,501004
06,004,17,19385,500833
14,064,16,30097,500649
14,021,24,21475,497440
12,075,181,46158,496967
25,008,21,42907,492922
16,055,75,44963,490036
07,017,87,78114,489116
32,019,15,23557,485833
12,046,107,61306,482373
30,125,21,29165,476944
30,073,37,41649,474973
24,025,15,30190,473306
29,025,390,69615,472555
31,079,60,40547,471625
15,030,32,22819,471281
20,409,15,8165,469505
31,002,14,15337,467997
07,051,29,43913,465222
14,119,21,27901,463695
11,018,67,36584,460463
10,008,27,34052,458490
21,053,114,57909,454804
17,020,110,41629,453404
24,018,1,15311,451798
30,206,23,27094,451246
13,056,22,33495,450961
11,013,8,23324,444998
16,070,19,15306,442512
28,012,24,43435,441940
11,008,18,37145,441778
12,034,64,37364,440715
31,040,34,25980,440173
16,095,17,11504,438797
21,108,39,16575,437069
16,038,28,41937,436599
07,034,55,67012,429296
30,109,58,62919,429228
23,002,59,75026,422738
21,003,92,33865,421837
15,075,19,24851,420120
19,020,1,5527,418424
04,001,67,52890,417170
15,082,54,71077,416465
19,011,2,7855,415795
20,324,92,43860,415732
20,057,49,38019,414130
30,013,34,27548,412014
32,048,17,25493,411168
19,017,6,39991,411052
32,024,34,48365,410600
15,009,72,48421,409548
21,010,190,60621,409271
14,016,28,38291,406933
15,053,45,50240,406285
18,006,30,27273,401540
11,009,72,77794,399756
18,012,23,43120,391971
12,058,128,53769,389270
28,002,19,29470,387058
13,081,58,32437,385607
16,065,51,34721,384259
22,004,31,64183,383690
14,082,70,34829,382169
15,015,84,27663,381853
18,018,38,30030,381323
11,046,82,70782,381298
31,061,4,3438,380849
19,014,14,35445,380225
26,070,4,15652,374040
32,044,7,15656,371935
16,085,37,32677,371867
14,001,11,21206,363792
30,030,41,41778,363744
16,019,13,19644,363041
20,044,42,41535,362039
21,177,128,48268,361695
08,048,8,22880,361168
16,087,9,13558,360882
14,037,20,23845,351874
15,093,16,27944,351352
16,079,54,45217,350371
08,040,10,29611,349109
14,043,8,23428,346302
26,045,1,2878,345216
21,090,28,18540,340370
13,062,2,29125,340087
21,094,103,31532,339604
07,087,38,35056,338166
11,019,14,50832,337760
07,012,54,43179,337750
19,005,2,18480,337490
21,004,110,52078,336174
07,068,13,29813,335681
21,115,69,47281,329611
21,045,141,43882,327434
20,021,24,14667,326969
27,010,21,83356,325741
10,039,8,26092,323423
16,058,31,18834,323058
08,010,8,22378,322995
16,089,37,22987,322018
21,008,5,10457,320275
12,021,47,73460,319518
28,007,14,14933,319510
16,068,24,25296,319072
07,109,21,34028,318648
14,091,19,40105,317625
12,048,62,44979,315353
07,069,26,50079,312781
30,183,55,58084,312687
14,048,6,18634,310579
31,038,50,30731,307636
15,115,71,46331,307449
14,047,19,22881,304346
13,082,32,18036,304183
18,016,30,39756,303670
10,036,13,22244,302961
25,017,17,88282,300435
29,034,29,39939,299743
31,093,8,17176,297496
17,002,18,18895,295546
20,227,26,13704,295241
29,044,156,38654,295183
10,038,22,21117,292024
21,186,86,51495,291569
16,077,10,18461,290686
12,007,44,32181,290370
14,033,16,21132,289550
15,068,45,27207,289116
30,032,49,48593,288536
16,110,30,46666,287521
15,113,26,59991,287306
07,107,100,74477,285301
31,011,7,6831,284871
20,293,13,15535,283496
20,059,114,41387,283328
12,030,38,20175,282712
08,005,7,23975,277457
15,079,7,11798,277058
15,065,31,34232,276988
16,073,53,25592,275788
24,032,19,40326,275010
05,026,0,3473,275003
05,026,0,3473,275003
05,031,10,22149,274802
31,056,48,29325,273772
20,068,138,21341,273439
21,106,49,25720,272766
12,012,30,62690,269620
21,125,12,8170,267830
21,207,67,53295,267654
21,144,77,13541,265018
16,012,41,42234,262342
17,003,61,33695,262182
15,011,58,56243,261911
17,024,67,48881,260656
08,047,1,5312,258833
27,001,19,56739,258702
12,061,180,40058,256790
16,009,28,34848,256383
13,016,29,54500,255652
08,031,9,39626,254498
16,106,19,29995,253983
26,064,0,1731,253452
30,086,35,40747,252770
22,009,10,25550,252215
11,039,22,35571,251881
24,011,65,43528,250156
10,001,15,31401,249921
14,116,17,18711,249471
11,026,108,56655,248755
21,054,76,30254,248540
30,142,21,33435,248171
14,074,16,15454,247482
30,130,49,40984,246408
31,004,4,5701,246292
24,049,32,37928,245356
21,194,95,27890,242373
13,066,18,11654,241417
16,083,11,29414,239867
30,161,44,34956,237589
20,045,5,7522,237459
14,024,18,26174,237259
12,068,9,25712,237056
12,053,57,48501,236954
26,026,18,60717,234809
15,022,25,12142,232875
16,033,14,21294,232342
26,035,2,12316,232228
32,022,14,20543,229360
20,145,10,3474,229148
08,027,11,49689,228785
16,035,27,32757,228760
30,034,43,25801,228405
30,074,6,6750,228329
15,096,69,33907,227336
30,069,41,24353,225428
14,025,21,18091,224678
07,057,55,69119,224033
17,025,31,31534,222189
26,004,3,9049,221089
30,010,48,60396,220607
13,005,38,17055,220418
19,001,0,2791,220403
10,004,17,33664,218742
16,003,14,20913,217670
30,092,37,35188,216969
30,094,30,37193,215308
12,023,35,25922,214957
18,011,15,23469,212860
16,010,29,21790,211323
32,034,33,27932,210135
19,032,2,5349,209645
20,551,47,19625,209537
15,114,14,94369,208842
29,002,39,13361,207932
14,088,5,16573,206919
20,073,24,31897,206629
21,180,41,36518,206152
21,142,160,27622,205503
30,192,12,19541,205086
15,067,117,78146,204381
15,028,21,26191,204097
15,018,52,47033,204051
28,013,2,15659,203935
30,134,2,21603,203401
20,334,75,43913,202936
20,006,76,17820,202844
30,181,25,37037,202285
07,052,42,111484,202123
08,020,2,8441,200553
28,037,10,24764,199277
25,007,7,32998,198576
20,083,74,8089,198251
28,017,8,15105,198163
13,004,8,8994,196526
15,087,149,90010,196484
21,143,31,28419,196255
13,075,18,13228,193140
26,071,10,22009,192945
32,049,16,33323,191902
29,007,71,15368,190508
21,199,51,37910,190384
14,100,17,35050,189507
05,038,2,12702,188635
20,350,18,16241,188175
14,077,14,26306,186597
24,045,8,14492,185168
16,103,59,23457,185014
07,092,25,41045,184985
24,021,4,53442,182858
29,032,17,12410,182696
28,015,4,15775,182542
20,401,33,22562,181845
13,083,24,39143,181018
07,002,42,28947,180923
32,055,22,29395,180696
30,047,41,52510,180380
24,005,20,18937,178237
30,196,9,17462,177544
14,125,5,17626,176340
14,045,6,19005,176243
25,013,13,45847,175923
12,039,29,24364,175541
13,057,12,14851,175504
04,005,26,28306,174872
07,013,24,30642,174126
08,044,2,4499,173720
14,055,29,21321,173376
30,015,20,33528,173349
13,012,45,26940,173290
14,003,29,21714,173264
15,074,101,121396,173121
27,011,7,29511,172819
14,118,9,22284,171358
06,003,37,20888,171348
28,016,11,23793,169434
31,048,25,21704,168099
19,013,2,10864,167932
13,070,52,17153,167788
11,012,21,27308,167144
05,019,1,8207,166647
14,086,8,18096,165968
15,023,101,39030,164960
07,008,23,26628,164940
15,064,32,34446,163101
30,151,7,23588,162809
04,011,15,41194,162747
14,079,37,14011,162583
20,469,12,32927,161335
14,009,15,17545,160003
24,022,6,19327,159262
04,008,13,9736,159012
16,056,43,27174,158813
29,036,53,20625,158733
31,058,39,24159,158680
15,112,31,44881,158251
12,015,9,12688,158124
07,032,20,30068,158107
13,059,17,35067,157863
30,023,13,48397,157272
21,047,56,19037,156825
31,091,8,11421,156229
19,050,0,1971,155903
13,038,1,7980,154445
19,022,9,14437,154266
12,077,28,12912,154005
21,076,17,26689,153250
26,012,17,22821,152197
20,041,46,30004,151707
21,035,48,19639,150993
12,014,7,15019,150751
14,102,7,5930,150587
30,066,46,25548,150512
15,044,39,26328,150247
20,107,606,21456,149964
31,028,4,2463,149272
26,047,3,9468,148662
19,016,0,3345,147462
15,001,39,60918,147390
28,039,11,27572,146721
27,015,13,46302,146540
18,010,11,34393,146420
08,001,2,11457,146055
20,565,170,34101,146048
21,153,44,20267,145869
24,042,36,14382,142117
17,033,29,14641,140487
14,076,2,3405,139511
30,143,33,56427,139454
30,080,13,21407,138847
16,025,39,36293,138665
24,007,12,18485,137803
08,056,0,2235,137780
14,059,16,13225,137345
15,052,96,25624,137266
14,096,17,20857,136270
13,002,18,40583,136162
14,114,15,16969,135763
16,024,56,18141,134487
11,010,6,11691,134232
16,091,15,13511,133523
08,025,2,8624,133207
15,117,9,15121,132433
32,023,10,12284,132384
30,148,21,27008,130964
13,023,117,33901,130517
20,570,58,19215,130235
14,058,16,14245,127787
20,338,27,9280,127245
30,178,9,13284,125122
20,298,47,11825,124945
14,036,30,18632,124022
16,028,4,5564,123722
16,002,27,16214,123465
21,211,38,15444,123118
15,050,33,23497,123065
14,017,14,12664,122672
22,018,9,26372,122548
21,013,234,18920,122530
30,158,22,25126,121016
29,014,29,13879,120931
30,004,9,40994,120324
24,010,17,31323,120285
15,021,14,36174,120260
32,050,4,9353,119972
04,006,23,37777,119627
16,111,14,15222,118452
13,067,164,48025,118448
12,022,15,42069,117688
07,079,19,33060,117394
30,144,24,31974,116849
17,026,14,16543,116470
10,022,12,24918,115447
21,102,60,12011,115281
14,065,33,12119,113801
17,021,7,7441,113576
07,081,17,40297,113295
21,189,69,19701,113133
16,097,14,31877,112879
31,085,16,14801,112251
21,043,25,47433,112200
20,294,14,6307,111678
30,051,67,21822,111032
16,014,9,14136,110281
28,011,5,8786,108988
11,016,13,20117,108903
16,074,19,9980,108026
21,169,9,20478,107885
28,001,6,12070,107782
10,037,2,8581,107756
24,053,30,33245,107588
31,003,49,10362,107480
13,046,65,39181,107278
21,129,61,12699,105586
16,093,13,27587,105580
15,008,13,26334,105410
19,042,1,5359,104983
19,027,1,2030,104265
23,007,16,25333,104155
16,098,48,26026,103804
21,067,25,16551,103608
14,110,6,13737,102912
12,067,22,21819,102851
19,037,0,5447,102801
20,327,9,13992,102685
15,069,4,4147,102533
24,054,12,51498,102498
08,034,2,6934,102478
20,124,387,17094,102271
20,399,93,27465,102213
30,112,6,20255,101912
13,031,16,12804,101768
31,080,15,9884,101302
07,015,29,43811,101280
01,002,16,45492,100895
07,037,30,33444,99910
15,043,95,26865,99600
32,051,17,34328,99345
10,018,7,11320,99291
15,055,13,11712,98897
17,001,8,17021,98244
14,084,15,14410,98163
25,004,5,28493,97893
25,005,8,16697,97535
15,094,31,18327,97405
08,029,7,53499,97107
16,084,39,27822,97041
14,087,22,16847,97030
07,003,19,27580,96386
16,113,41,25576,96347
27,009,5,36391,96247
20,418,29,11888,96112
30,091,15,27080,95990
16,105,12,18995,95925
21,166,34,8056,95643
16,090,33,13950,95630
15,059,48,31691,95439
30,046,17,15668,95398
10,024,9,12788,95149
21,214,137,15690,94754
30,201,9,41923,94347
07,048,9,21084,94196
20,559,6,22446,94194
15,084,39,35987,93784
26,038,3,4680,93324
28,014,0,4477,92927
21,017,61,25386,92561
17,019,58,25346,92439
30,093,8,15313,92355
14,113,6,15310,92122
16,030,10,12855,91974
14,103,7,7256,91627
15,036,107,39864,91594
12,052,59,42360,91540
13,006,17,18879,91353
21,038,19,8709,91238
04,010,7,26882,91026
15,107,13,12099,90479
13,039,16,13864,90024
20,129,0,334,89796
21,118,51,25553,89580
20,115,12,8684,89187
07,054,28,26573,89169
16,063,9,16064,89107
07,004,28,29865,89083
14,042,7,8781,88642
31,095,3,5388,88340
32,007,5,12803,88105
16,015,32,17615,87708
20,028,35,19679,87652
29,026,48,17968,87524
16,064,23,25343,87062
10,035,5,10745,86948
07,094,36,37607,86947
21,170,18,16390,86745
31,053,28,12336,85784
07,072,11,31075,85127
15,063,24,31803,84793
05,036,3,21319,84000
16,062,28,19450,83664
18,007,21,17698,83585
30,058,9,54982,83511
30,009,13,28017,83499
07,075,37,25530,83275
12,036,11,10815,83246
12,040,74,24720,82818
21,191,8,9245,82811
15,012,16,10299,82284
30,169,20,23999,82149
13,021,39,13357,81982
17,022,61,19138,81802
07,077,10,57253,81791
13,001,2,20077,81712
32,038,9,69844,81691
14,112,6,5798,81306
12,045,13,24723,80661
11,022,7,22683,80524
14,029,4,17795,80380
15,097,10,17390,80073
14,026,6,5933,80008
20,364,24,14710,79732
11,029,13,37103,79647
21,124,78,14454,79479
20,545,13,8966,79366
17,010,29,15646,79154
07,020,32,44082,79053
29,053,21,6821,78811
14,051,9,13218,78533
31,019,49,33490,78409
14,107,5,6316,78224
29,021,34,16640,78210
16,047,18,19986,77599
26,072,6,14136,77378
30,132,19,17958,77032
12,027,5,21388,76903
07,021,13,21050,76663
15,004,11,14856,76244
30,072,28,20765,76129
21,163,96,16275,75927
17,015,40,24990,75770
12,003,50,38203,75427
16,023,11,9975,75274
07,096,25,71432,75140
07,046,26,37818,74991
16,040,23,16427,74905
30,075,11,17121,74902
31,076,9,16200,74838
30,114,3,9974,74498
31,098,15,14011,74068
