number,stateCode,state,townCode,town,localCode,local
55,29,TLAXCALA,016,IXTENCO,0001,IXTENCO
55,29,TLAXCALA,033,TLAXCALA,0008,OCOTLÁN
55,31,YUCATÁN       ,079,TEKAX,0001,TEKAX DE ÁLVARO OBREGÓN
56,08,CHIHUAHUA,032,HIDALGO DEL PARRAL,0001,HIDALGO DEL PARRAL
56,15,MÉXICO                      ,009,AMECAMECA,0001,AMECAMECA DE JUÁREZ
56,20,OAXACA,219,SAN JUAN TEITIPAC,0001,SAN JUAN TEITIPAC
56,21,PUEBLA,041,CUAUTLANCINGO,0001,SAN JUAN CUAUTLANCINGO
56,30,VERACRUZ DE IGNACIO DE LA LLAVE,102,MARTÍNEZ DE LA TORRE,0001,MARTÍNEZ DE LA TORRE
57,07,CHIAPAS,108,VILLAFLORES,0001,VILLAFLORES
57,11,GUANAJUATO,018,JARAL DEL PROGRESO,0001,JARAL DEL PROGRESO
57,13,HIDALGO,074,TLAXCOAPAN,0001,TLAXCOAPAN
57,15,MÉXICO                      ,085,TEMASCALCINGO,0001,TEMASCALCINGO DE JOSÉ MARÍA VELASCO
57,31,YUCATÁN       ,096,TIZIMÍN,0034,POPOLNÁH
58,07,CHIAPAS,027,CHIAPA DE CORZO,0001,CHIAPA DE CORZO
58,12,GUERRERO,046,OMETEPEC,0001,OMETEPEC
58,13,HIDALGO,081,ZACUALTIPÁN DE ÁNGELES,0001,ZACUALTIPÁN
58,20,OAXACA,570,ZIMATLÁN DE ÁLVAREZ,0001,ZIMATLÁN DE ÁLVAREZ
59,05,COAHUILA DE ZARAGOZA,018,MONCLOVA,0001,MONCLOVA
59,07,CHIAPAS,065,PALENQUE,0001,PALENQUE
59,16,MICHOACÁN DE OCAMPO       ,052,LÁZARO CÁRDENAS,0077,LAS GUACAMAYAS
59,29,TLAXCALA,017,MAZATECOCHCO DE JOSÉ MARÍA MORELOS,0001,MAZATECOCHCO
60,11,GUANAJUATO,046,YURIRIA,0001,YURIRIA
60,16,MICHOACÁN DE OCAMPO       ,020,CUITZEO,0001,CUITZEO DEL PORVENIR
60,21,PUEBLA,102,NEALTICAN,0001,SAN BUENAVENTURA NEALTICAN
60,21,PUEBLA,119,SAN ANDRÉS CHOLULA,0013,SAN BERNARDINO TLAXCALANCINGO
60,32,ZACATECAS,020,JEREZ,0001,JEREZ DE GARCÍA SALINAS
61,21,PUEBLA,074,HUEJOTZINGO,0001,HUEJOTZINGO
61,21,PUEBLA,114,PUEBLA,0218,SANTA MARÍA XONACATEPEC
61,21,PUEBLA,129,SAN JOSÉ MIAHUATLÁN,0001,SAN JOSÉ MIAHUATLÁN
61,26,SONORA,042,NAVOJOA,0001,NAVOJOA
61,29,TLAXCALA,039,XALOZTOC,0001,XALOZTOC
61,30,VERACRUZ DE IGNACIO DE LA LLAVE,048,COSOLEACAQUE,0073,MINATITLÁN
